[1011/235400.864:ERROR:viz_main_impl.cc(162)] Exiting GPU process due to errors during initialization
[1011/235401.068:ERROR:viz_main_impl.cc(162)] Exiting GPU process due to errors during initialization
[1011/235401.344:ERROR:gpu_init.cc(441)] Passthrough is not supported, GL is disabled
[1011/235411.552:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.562:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.581:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.598:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.614:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.631:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.648:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.664:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.682:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.699:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.716:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.733:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.750:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
[1011/235411.767:INFO:CONSOLE(209)] "Uncaught TypeError: Cannot read property 'x' of undefined", source: file:///C:/Users/iaved/source/repos/HTML-Homeworks/index.html (209)
